Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
présentation,APPARITION ET PRÉSENTATION,pres_date,Date de la dernière consultation/admission dans cet établissement,,Il s'agit de la date d'hospitalisation/d'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez la date d'hospitalisation/d'admission dans votre établissement (au format JJ/MM/AAAA).,1,0,0,0,0,
présentation,APPARITION ET PRÉSENTATION,pres_adm,Admis à l'hôpital,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez « Oui » si ce patient a été admis dans votre établissement.,1,0,0,0,0,0
présentation,APPARITION ET PRÉSENTATION,pres_adm_reas,Motif de l'hospitalisation,,Il s'agit de la raison (indication) de l'hospitalisation.,"Si « Oui », précisez la raison (indication) de l'hospitalisation.",1,0,0,0,0,0
présentation,APPARITION ET PRÉSENTATION,pres_adm_reasoth,Précisez une autre raison,,Il s'agit de la raison (indication) de l'hospitalisation.,,1,0,0,0,,
présentation,APPARITION ET PRÉSENTATION,pres_adm_time,Heure d'admission à l'hôpital,,Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Entrez l'heure d'admission dans votre établissement au format 24 heures (00:00 - 24:00 heures).,1,0,0,0,0,
présentation,APPARITION ET PRÉSENTATION,pres_enrolmentdate,Date d'inscription/début de la collecte des données,,Il s'agit de la date d'inscription/du début de la collecte des données.,Entrez la date d'inscription du patient à l'étude au format jour/mois/année (JJ/MM/AAAA).,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev,Le patient a-t-il déjà été admis ou transféré d'un autre établissement au cours de cet épisode de maladie ?,"1, OUI - admis précédemment dans cet établissement et sorti | 2, OUI - admis dans un autre établissement et sorti | 3, OUI - admis dans un autre établissement, puis transféré dans cet établissement | 0, Non | 99, Inconnu",Il s'agit de l'admission précédente dans un établissement de santé ou du transfert depuis un autre établissement de santé au cours de l'épisode actuel de la maladie.,Sélectionnez l'option la plus appropriée pour indiquer si le patient a déjà été admis ou transféré depuis un autre établissement au cours de cet épisode de maladie.,1,0,0,0,0,0
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_site,Nom de l'établissement de transfert,,Il s'agit du nom de l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez le nom de l'établissement dans lequel le patient a été admis ou transféré précédemment.,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_date,Date de présentation à l'établissement précédent,,Il s'agit de la date de présentation à l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez la date de présentation à l'établissement dans lequel le patient a été admis ou transféré précédemment.,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_reastrans,Raison du transfert,"1, Escalade des soins (p. ex. USI/Ventilation) | 2, Manque d'installations de diagnostic | 3, Proximité du domicile | 88, autre",,,1,0,0,,,0
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_reastrans_oth,Précisez autre raison,,,,1,0,0,,,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_num,Nombre total d'admissions précédentes pour cette infection,,Il s'agit du nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.,Indiquez le nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_firstadmdate,Date de la première admission pour cette infection,,"Il s'agit de la date de la première admission pour cette maladie. Si le patient a d'abord été « admis dans un autre établissement, puis transféré vers cet établissement », enregistrez la date à laquelle le patient a été admis dans l'autre établissement de santé.",Inscrivez la date au format JJ/MM/AAAA.,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_difpin,Les données du patient ont-elles été précédemment collectées sous un autre numéro d'identification des participants (PIN)?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la collecte antérieure des données du patient sous un autre numéro d'identification du participant (PIN).,Indiquez «oui» si les données du patient ont été précédemment collectées sous un autre numéro d'identification des participants (PIN),1,0,0,0,0,0
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prevpin,Numéro d'identification précédent des participants (PIN),,Le numéro d'identification ou le PIN des participants est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d'identification des participants (PIN).,1,0,0,0,0,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_reas,Le patient est-il réadmis avec ou en raison d'une infection par pathogène d'intérêt?,"1, Oui | 0, Non | 99, Inconnu",Cela fait référence à la réadmission du patient avec ou en raison d'une infection par pathogène d'intérêt.,Indiquez «oui» si le patient est réadmis avec ou en raison d'une infection par un agent pathogène d'intérêt.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_birthknow,La date de naissance est-elle connue ?,"1, Oui | 0, Non",Il s'agit de la date calendaire à laquelle le patient est né.,Enregistrez la date de naissance du participant au format JJ/MM/AAAA.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_birthdate,Date de naissance,,Cela fait référence à la date du calendrier à laquelle le patient est né.,Enregistrez la date de naissance des participants au format DD / mm / yyyy.,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_age,Âge,,Cela fait référence à l'âge du patient.,"Pour les participants de plus de deux ans, veuillez signaler l'âge en années. Pour les enfants de moins d'un an, veuillez vous présenter en mois. Pour les nouveau-nés en dessous de l'âge d'un mois, veuillez vous présenter en quelques jours.",1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_age_units,Unités d'âge,"1, Années | 2, Mois | 3, Jours",Cela fait référence à l'âge du patient à la présentation au centre de santé.,Sélectionnez les unités les plus appropriées pour l'âge.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_calcage_days,Âge calculé (jours),"if([demog_birthknow]='1', datediff([demog_birthdate], if([pres_date]='',""today"",[pres_date]), ""d"", ""dmy""), if([demog_age_units]='1', [demog_age]*365, if([demog_age_units]='2', round([demog_age]*365/12,0), if([demog_age_units]='3', [demog_age], ''))))",Il s'agit de l'âge du patient en jours.,"L'âge est calculé, si la date de naissance est connue, comme la différence entre la date de naissance et la date la plus récente de présentation ou d'admission dans l'établissement.",1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_sex,Sexe à la naissance,"1, Homme | 2, Femme | 99, Non spécifié/Inconnu | 88, Autre",Cela fait référence aux caractéristiques sexuelles physiques à la naissance.,Sélectionnez l'option la plus appropriée qui représente les caractéristiques sexuelles physiques à la naissance.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_sex_oth,Si autre: spécifiez le sexe à la naissance,,Cela fait référence aux caractéristiques sexuelles physiques à la naissance.,"Si «autre», spécifiez les caractéristiques sexuelles physiques à la naissance.",1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_gender,Genre,"1, Homme | 2, Femme | 3, Non binaire | 99, Inconnu | 88, Autre","Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu. ",Sélectionnez l'option la plus appropriée qui représente l'identité de genre du patient.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_gender_oth,Si autre: spécifiez le sexe,,"Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu.",Si «d'autres» spécifient l'identité de genre du patient.,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_country,Pays,,Il s'agit du pays d'inscription.,Indiquer le pays d'inscription,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_outcountry,Le patient est-il né en dehors du pays déclarant ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la naissance du participant en dehors du pays déclarant.,Indiquez si le participant est né en dehors du pays déclarant,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height,Hauteur (sélectionnez les unités),,Estimation réelle ou la plus proche de la hauteur au moment de l'admission.,,1,0,0,0,,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_units,Hauteur (certaines unités),"1, cm | 2, dans",,,1,0,0,,,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_cm,Hauteur (cm),,"Il s'agit de la distance entre la semelle et la couronne de la tête avec le corps debout sur une surface plane et entièrement étendue, mesurée en centimètres. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesuré en couchage en décubitus dorsal).","Indiquez la hauteur du patient en centimètres (cm). Pour les enfants de moins de 2 ans, veuillez utiliser la durée.",1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_in,Hauteur (in),,"Il s'agit de la distance entre la semelle et la couronne de la tête avec le corps debout sur une surface plane et entièrement étendue, mesurée en pouces. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesuré en couchage en décubitus dorsal).","Indiquez la hauteur du patient en pouces (in). Pour les enfants de moins de 2 ans, veuillez utiliser la durée.",1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight,Poids (Sélectionnez Unités),,Estimation réelle ou la plus proche du poids au moment de l'admission.,,1,0,0,0,,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_units,Poids (certaines unités),"1, kg | 2, livres",,,1,0,0,,,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_kg,Poids (kg),,"Cela fait référence au poids d'un sujet, exprimé en kilogrammes (kg).",Indiquez le poids du patient en kilogrammes (kg).,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_lb,Poids (LB),,"Il s'agit du poids d'un sujet, exprimé en livres (LB).",Indiquez le poids du patient en livres (LB).,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_race,Race (sélectionnez tout ce qui s'applique),,Cela fait référence à une catégorie d'origine ancestrale géographique qui est affectée à un groupe de population basé principalement sur des caractéristiques physiques qui sont considérées comme distinctes et inhérentes.,Sélectionnez tout ce qui s'applique.,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare,Employé comme agent de santé,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'un patient qui travaille dans le secteur des soins de santé.,Sélectionnez l'option la plus appropriée.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare_ptfacing,Face au patient,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans un environnement en contact avec les patients (c'est-à-dire des rôles qui impliquent une interaction directe avec les patients). ",Sélectionnez l'option la plus appropriée.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare_expbiosample,Exposé à des échantillons biologiques,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans des environnements non en contact avec les patients, mais qui est exposé à des échantillons biologiques (par exemple, le personnel de laboratoire, les personnes chargées du traitement des déchets médicaux).",Sélectionnez l'option la plus appropriée.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_riskoccupa,Occupation du patient,,Cela fait référence à l'activité principale qu'une personne fait pour gagner sa vie.,Sélectionnez tout ce qui s'applique.,1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_occupation,Emplacement principal de l'occupation,"1, Télétravail ou sans emploi | 2, À l'intérieur - bureau/santé/éducation/hôtellerie/commerce/domicile | 3, À l'intérieur - usine | 8, À l'extérieur - contact avec des animaux (vétérinaire, éleveur, abattoir) | 4, À l'extérieur - agriculture/sylviculture/pêche | 5, À l'extérieur - construction/industrie/exploitation minière | 6, Forces armées | 7, Étudiant | 99, Inconnu | 88, Autre","Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle. ",Sélectionnez l'option la plus appropriée qui représente l'emplacement principal de l'occupation.,1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_occupation_oth,Si autre: spécifiez l'emplacement principal de l'occupation,,Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle.,"Si «autre», spécifiez l'emplacement principal de l'occupation.",1,0,0,0,0,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_residence,Ville de résidence du patient,"1, Identique à l'établissement de santé | 2, Différent de l'établissement de santé | 99, Inconnu",Il s'agit de la ville où une personne réside de manière plus que temporaire ou permanente.,"Si la ville de résidence du patient est différente de celle où se trouve l'établissement de santé, précisez la région de résidence du patient ci-dessous.",1,0,0,0,0,0
présentation,DONNÉES DÉMOGRAPHIQUES,demog_residence_oth,"Si différente de l'établissement de santé, précisez la région de résidence du patient.",,Il s'agit de la ville où une personne réside de manière plus que temporaire ou permanente.,"Si « Différent de l'établissement de santé », précisez la région de résidence du patient.",1,0,0,0,0,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_travel,Le patient a-t-il voyagé en dehors de sa région de résidence au cours des 14 derniers jours ?,"1, Oui | 0, Non | 99, Inconnu","Il s'agit des déplacements vers une autre ville ou région, une autre partie du pays ou à l'étranger dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.","Indiquez « Oui » si le patient s'est rendu dans une autre ville ou région, dans une autre partie du pays ou à l'étranger dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.",1,0,0,0,0,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_travel_loc,Précisez toutes les villes et régions de voyage,,Il s'agit de toutes les villes ou régions où le patient s'est rendu dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.,"Si le patient s'est éloigné de son lieu de résidence habituel dans les 14 jours précédant l'apparition des symptômes, indiquez le ou les lieux visités.",1,0,0,0,0,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_riskarea,"Vous voyagez ou vivez dans des zones touchées par une épidémie, rurales ou à haut risque ?","1, oui | 0, Non | 99, Inconnu",,,1,0,0,,,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact,Antécédents de contact avec un cas humain suspecté ou confirmé de maladie/maladie due au même agent pathogène ?,"1, oui | 0, Non | 99, Inconnu","Il s'agit d'un patient ayant des antécédents de contact avec une personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple, fluides corporels, objets, literie, etc.).","Indiquez « Oui » si le patient a des antécédents de contact avec une personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple, des fluides corporels, des objets, de la literie, etc.).",1,0,0,0,0,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_setting,Paramétrage des contacts,"1, Ménage | 2, communautaire/social | 3, Établissement de santé | 4, Professionnel/lieu de travail | 5, contact sexuel | 7, Voyage/vol en avion | 8, transmission verticale | 88, autre | 99, Inconnu",,,1,0,0,,,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_setting_oth,Préciser un autre type de contact,,,,1,0,0,,,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_date,Date de contact avec un cas suspect ou confirmé,,"Il s'agit de la date du contact avec toute personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple des fluides corporels, des objets, de la literie, etc.).",Entrez la date du contact avec un cas humain suspecté ou confirmé. (Utilisez le format JJ/MM/AAAA),1,0,0,0,0,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon,"Y a-t-il eu un contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours ?","1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez « Oui » si le patient a été en contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.",1,0,0,0,0,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_date,Date du contact avec une source animale suspecte ou confirmée,,"Il s'agit de la date du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez la date du contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours, au format JJ/MM/AAAA.",1,0,0,0,0,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_lstock,Contact avec du bétail,"1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des oiseaux vivants (par exemple, poulets, dindes, canards) au cours des 14 derniers jours.",Indiquez « Oui » si le patient a été exposé à ce risque au cours des 14 derniers jours.,1,0,0,0,0,0
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_lstock_type,Type de bétail,"1, Volailles/oiseaux | 2, Vaches laitières/équipement | 3, Autres bovins | 4, les porcs","Il s'agit d'un contact avec des oiseaux vivants (par exemple poulets, dindes, canards) survenu au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,1,0,0,0,0,0
